TERM_CODE,CRN,TERM_DESC,TITLE,SUBJ_CODE,SUBJ_DESC,CRSE_NUM,SEQ_NUM,XLST_GROUP,SCHD_DESC,MAX_ENRL,CREDIT_HR,COLL_DESC,DEPT_DESC,BLDG_DESC,ROOM_CODE,BEGIN_TIME,END_TIME,START_DATE,END_DATE,SUN_DAY,MON_DAY,TUE_DAY,WED_DAY,THU_DAY,FRI_DAY,SAT_DAY,HRS_WEEK
202230,2192,Spring Quarter 2022,Exploring Global Citizenship,INTZ,Internationalization,2501,2,,Lecture,20,2,Study Abroad,Study Abroad,Sturm Hall,124,1000,1150,28-Mar-22,05-Jun-22,,,,,R,,,1.83
202230,2856,Spring Quarter 2022,Exploring Global Citizenship,INTZ,Internationalization,2501,16,,Lecture,20,2,Study Abroad,Study Abroad,Sie Complex,2121,1400,1550,28-Mar-22,05-Jun-22,,,T,,,,,1.83
202230,2607,Spring Quarter 2022,Counseling Psyc Prac Begin,CNP,Counseling Psychology,4750,5,,Lecture,10,3,Education,Counseling Psychology,Katherine A. Ruffatto Hall,409,1200,1350,28-Mar-22,05-Jun-22,,,,W,,,,1.83
202230,5633,Spring Quarter 2022,Introduction to Film Criticism,MFJS,Media Film Journalism Studies,2000,1,,Lecture,30,4,Social Sciences,"Media, Film & Journalism",Mass Communications Building,119,0800,1020,28-Mar-22,05-Jun-22,,,,W,R,F,,3.66
202230,2191,Spring Quarter 2022,Exploring Global Citizenship,INTZ,Internationalization,2501,1,,Lecture,20,2,Study Abroad,Study Abroad,Sie Complex,3110,1600,1750,28-Mar-22,05-Jun-22,,M,,,,,,1.83
202230,3324,Spring Quarter 2022,Exploring Global Citizenship,INTZ,Internationalization,2501,20,,Lecture,20,2,Study Abroad,Study Abroad,Sturm Hall,476,1800,1950,28-Mar-22,05-Jun-22,,,,W,,,,1.83
202230,2859,Spring Quarter 2022,Exploring Global Citizenship,INTZ,Internationalization,2501,19,,Lecture,20,2,Study Abroad,Study Abroad,Sie Complex,3110,1600,1750,28-Mar-22,05-Jun-22,,,,W,,,,1.83
202230,1177,Spring Quarter 2022,Senior Honors Research Seminar,PSYC,Psychology,3152,1,,Lecture,15,1,Social Sciences,Psychology,Sturm Hall,411,1600,1750,28-Mar-22,05-Jun-22,,,T,,R,,,3.66
202230,3766,Spring Quarter 2022,Intro to American Politics,PLSC,Political Science,1000,1,,Lecture,75,4,Social Sciences,Political Science,Sturm Hall,380,1000,1150,28-Mar-22,05-Jun-22,,,T,,,F,,3.66
202230,1878,Spring Quarter 2022,Counseling Psyc Prac Begin,CNP,Counseling Psychology,4750,3,,Lecture,10,3,Education,Counseling Psychology,Katherine A. Ruffatto Hall,304,1200,1350,28-Mar-22,05-Jun-22,,,,W,,,,1.83
202230,2858,Spring Quarter 2022,Exploring Global Citizenship,INTZ,Internationalization,2501,18,,Lecture,20,2,Study Abroad,Study Abroad,Sie Complex,2121,1400,1550,28-Mar-22,05-Jun-22,,,,,R,,,1.83
202230,1594,Spring Quarter 2022,Interpersonal Appr Counseling,SOWK,Social Work,4735,1,,Lecture,20,3,Social Work,Graduate School of Social Work,Craig Hall,284,0800,0950,28-Mar-22,05-Jun-22,,,T,,,,,1.83
202230,2105,Spring Quarter 2022,Suicide Assessment & Interv,SOWK,Social Work,4784,1,,Lecture,20,3,Social Work,Graduate School of Social Work,Craig Hall,284,1800,1950,28-Mar-22,05-Jun-22,,M,,,,,,1.83
202230,5291,Spring Quarter 2022,"Language, Power, Globalization",MFJS,Media Film Journalism Studies,4653,1,,Lecture,20,4,Social Sciences,"Media, Film & Journalism",Mass Communications Building,119,1600,1750,28-Mar-22,05-Jun-22,,M,,W,,,,3.66
202230,1664,Spring Quarter 2022,Therapeutic Assessment,CPSY,Clinical Psychology,5741,1,,Lecture,30,2,Professional Psychology,Professional Psychology,Ammi Hyde Building,108,0830,1020,28-Mar-22,05-Jun-22,,,,W,,,,1.83
